respondent_id,age_group,gender,sector,job_level_text,job_level,experience_years_text,experience_years_code,ai_usage_freq_text,ai_usage_freq,ai_primary_use,ai_literacy_text,ai_literacy,prod_1,prod_2,prod_3,prod_4,prod_5,productivity_index,anx_1,anx_2,anx_3,anx_4,anx_5,anx_4_rev,anxiety_index,concern_text,benefit_text
R1000,25–34,Male,Technology / IT,Senior / Specialist,3,8–15 years,4,Frequently (daily),4,Coding / technical assistance,Advanced,4,4.0,4.0,5.0,4.0,4.0,4.2,4.0,4.0,3.0,4.0,4.0,2.0,3.4,"The biggest concern regarding generative AI in the workplace is data privacy and security, data leaks, and inaccurate outputs.","saving time on daily tasks, which includes writing emails, finding quick summaries, and fixing code errors."
R1001,25–34,Female,Technology / IT,Mid-level / Associate,2,4–7 years,3,Rarely (a few times a month),2,"Drafting written content (emails, reports, documents)",Intermediate,3,4.0,4.0,3.0,4.0,4.0,3.8,3.0,3.0,4.0,3.0,4.0,3.0,3.4,"My main concern is that AI may reduce the need for certain repetitive tasks, which could change team roles over time. I still value human oversight for quality control and decision making.","The greatest benefit has been faster drafting and summarization for routine work, which lets me focus on higher-value responsibility and stakeholder communication."
R1002,25–34,Female,Technology / IT,Mid-level / Associate,2,4–7 years,3,Occasionally (a few times a week),3,"Drafting written content (emails, reports, documents)",Intermediate,3,4.0,4.0,3.0,4.0,4.0,3.8,3.0,3.0,4.0,3.0,4.0,3.0,3.4,"I am concerned that some routine writing and summarization work may be automated, but I still see value in human review and strategic oversight.","AI has sped up drafting and first-pass research, giving me more time for analysis and client communication."
R1003,18–24,Male,Education,Entry-level / Junior,1,1–3 years,2,Rarely (a few times a month),2,Brainstorming / idea generation,Basic,2,3.0,3.0,4.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,The main concern is that AI might reduce the need for entry-level support tasks and alter how junior roles develop.,"It helps me generate ideas and summarize reading material faster, which supports learning and assignments."
R1004,35–44,Female,Healthcare,Senior / Specialist,3,8–15 years,4,Frequently (daily),4,Data analysis or summarization,Advanced,4,5.0,5.0,4.0,5.0,5.0,4.8,4.0,4.0,5.0,2.0,5.0,4.0,4.4,My concern is that AI could reshape specialist roles and create pressure to reskill more quickly as workflows change.,AI is especially valuable for processing large documents and identifying trends more efficiently.
R1005,45–54,Male,Finance / Banking,Managerial,4,More than 15 years,5,Frequently (daily),4,"Drafting written content (emails, reports, documents)",Advanced,4,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,I worry about how quickly AI may change managerial workflows and whether teams will be reskilled fairly.,"It helps draft updates and summaries efficiently, which allows me to spend more attention on decisions and stakeholder communication."
R1006,55 or older,Prefer not to say,Government / Public Sector,Executive / C-level,5,More than 15 years,5,Occasionally (a few times a week),3,Brainstorming / idea generation,Intermediate,3,3.0,4.0,3.0,3.0,3.0,3.2,2.0,3.0,3.0,4.0,3.0,2.0,2.6,I am concerned that AI could blur accountability if used without strong governance and human oversight in public services.,"AI produces useful brainstorming and synthesis support, though strategic judgment still needs to remain human-led."
R1007,25–34,Other,Retail / E-commerce,Mid-level / Associate,2,1–3 years,2,Constantly (multiple times per day),5,Customer-facing communication,Expert,5,5.0,4.0,5.0,5.0,5.0,4.8,4.0,4.0,5.0,2.0,4.0,4.0,4.2,I worry about automation affecting customer support and sales coordination roles as AI becomes more capable.,AI helps me write customer replies and summarize conversations quickly while keeping tone consistent and professional.
R1008,35–44,Female,Technology / IT,Senior / Specialist,3,8–15 years,4,Frequently (daily),4,Coding / technical assistance,Expert,5,5.0,5.0,4.0,5.0,5.0,4.8,3.0,4.0,4.0,3.0,4.0,3.0,3.6,My main concern is that AI may shift the value of routine engineering work and increase the expectations for continuous learning.,"It accelerates code generation, debugging support, and technical documentation, which improves delivery speed."
R1009,18–24,Male,Education,Entry-level / Junior,1,Less than 1 year,1,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.6,"I am not using AI yet, but I am concerned that the lack of adoption could reduce opportunities for early-career skills development.","I have not used it at work yet, but I expect it may help with study summaries and preparing first drafts once I become more familiar."
R1010,25–34,Female,Technology / IT,Mid-level / Associate,2,4–7 years,3,Occasionally (a few times a week),3,"Drafting written content (emails, reports, documents)",Intermediate,3,4.0,4.0,3.0,4.0,4.0,3.8,3.0,3.0,4.0,3.0,4.0,3.0,3.4,"I am concerned that some routine writing and summarization work may be automated, but I still see value in human review and strategic oversight.","AI has sped up drafting and first-pass research, giving me more time for analysis and client communication."
R1011,18–24,Male,Education,Entry-level / Junior,1,1–3 years,2,Rarely (a few times a month),2,Brainstorming / idea generation,Basic,2,3.0,3.0,4.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,The main concern is that AI might reduce the need for entry-level support tasks and alter how junior roles develop.,"It helps me generate ideas and summarize reading material faster, which supports learning and assignments."
R1012,35–44,Female,Healthcare,Senior / Specialist,3,8–15 years,4,Frequently (daily),4,Data analysis or summarization,Advanced,4,5.0,5.0,4.0,5.0,5.0,4.8,4.0,4.0,5.0,2.0,5.0,4.0,4.4,My concern is that AI could reshape specialist roles and create pressure to reskill more quickly as workflows change.,AI is especially valuable for processing large documents and identifying trends more efficiently.
R1013,45–54,Male,Finance / Banking,Managerial,4,More than 15 years,5,Frequently (daily),4,"Drafting written content (emails, reports, documents)",Advanced,4,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,I worry about how quickly AI may change managerial workflows and whether teams will be reskilled fairly.,"It helps draft updates and summaries efficiently, which allows me to spend more attention on decisions and stakeholder communication."
R1014,55 or older,Prefer not to say,Government / Public Sector,Executive / C-level,5,More than 15 years,5,Occasionally (a few times a week),3,Brainstorming / idea generation,Intermediate,3,3.0,4.0,3.0,3.0,3.0,3.2,2.0,3.0,3.0,4.0,3.0,2.0,2.6,I am concerned that AI could blur accountability if used without strong governance and human oversight in public services.,"AI produces useful brainstorming and synthesis support, though strategic judgment still needs to remain human-led."
R1015,25–34,Other,Retail / E-commerce,Mid-level / Associate,2,1–3 years,2,Constantly (multiple times per day),5,Customer-facing communication,Expert,5,5.0,4.0,5.0,5.0,5.0,4.8,4.0,4.0,5.0,2.0,4.0,4.0,4.2,I worry about automation affecting customer support and sales coordination roles as AI becomes more capable.,AI helps me write customer replies and summarize conversations quickly while keeping tone consistent and professional.
R1016,35–44,Female,Technology / IT,Senior / Specialist,3,8–15 years,4,Frequently (daily),4,Coding / technical assistance,Expert,5,5.0,5.0,4.0,5.0,5.0,4.8,3.0,4.0,4.0,3.0,4.0,3.0,3.6,My main concern is that AI may shift the value of routine engineering work and increase the expectations for continuous learning.,"It accelerates code generation, debugging support, and technical documentation, which improves delivery speed."
R1017,18–24,Male,Education,Entry-level / Junior,1,Less than 1 year,1,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.6,"I am not using AI yet, but I am concerned that the lack of adoption could reduce opportunities for early-career skills development.","I have not used it at work yet, but I expect it may help with study summaries and preparing first drafts once I become more familiar."
R1018,25–34,Female,Technology / IT,Mid-level / Associate,2,4–7 years,3,Occasionally (a few times a week),3,"Drafting written content (emails, reports, documents)",Intermediate,3,4.0,4.0,3.0,4.0,4.0,3.8,3.0,3.0,4.0,3.0,4.0,3.0,3.4,"I am concerned that some routine writing and summarization work may be automated, but I still see value in human review and strategic oversight.","AI has sped up drafting and first-pass research, giving me more time for analysis and client communication."
R1019,18–24,Male,Education,Entry-level / Junior,1,1–3 years,2,Rarely (a few times a month),2,Brainstorming / idea generation,Basic,2,3.0,3.0,4.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,The main concern is that AI might reduce the need for entry-level support tasks and alter how junior roles develop.,"It helps me generate ideas and summarize reading material faster, which supports learning and assignments."
R1020,25–34,Female,Technology / IT,Mid-level / Associate,2,4–7 years,3,Occasionally (a few times a week),3,"Drafting written content (emails, reports, documents)",Intermediate,3,4.0,4.0,3.0,4.0,4.0,3.8,3.0,3.0,4.0,3.0,4.0,3.0,3.4,"I worry about task automation reducing some routine work, but I still value human judgment for quality control and decisions.","AI helps me draft communications and summaries quickly, which frees time for analysis and stakeholder work."
R1021,18–24,Male,Education,Entry-level / Junior,1,1–3 years,2,Rarely (a few times a month),2,Brainstorming / idea generation,Basic,2,3.0,3.0,4.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,My main concern is that AI may reduce opportunities for junior staff to build foundational skills through routine tasks.,It helps me brainstorm ideas and summarize reading material quickly while I learn.
R1022,35–44,Female,Healthcare,Senior / Specialist,3,8–15 years,4,Frequently (daily),4,Data analysis or summarization,Advanced,4,5.0,5.0,4.0,5.0,5.0,4.8,4.0,4.0,5.0,2.0,5.0,4.0,4.4,I am concerned about role changes and the need to continuously reskill as AI becomes more integrated in clinical workflows.,"AI supports quick summarization of research and operational data, which improves decision support and time efficiency."
R1023,45–54,Male,Finance / Banking,Managerial,4,More than 15 years,5,Frequently (daily),4,"Drafting written content (emails, reports, documents)",Advanced,4,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,The concern is that AI could change management work quickly and require fair reskilling across teams.,"It helps produce concise updates and executive summaries, which lets me focus on strategic thinking and communication."
R1024,55 or older,Prefer not to say,Government / Public Sector,Executive / C-level,5,More than 15 years,5,Occasionally (a few times a week),3,Brainstorming / idea generation,Intermediate,3,3.0,4.0,3.0,3.0,3.0,3.2,2.0,3.0,3.0,4.0,3.0,2.0,2.6,"AI may blur accountability if it is used without governance, so strong oversight remains essential in public administration.","It is useful for brainstorming and synthesizing options, though strategic judgment must stay firmly human-led."
R1025,25–34,Other,Retail / E-commerce,Mid-level / Associate,2,1–3 years,2,Constantly (multiple times per day),5,Customer-facing communication,Expert,5,5.0,4.0,5.0,5.0,5.0,4.8,4.0,4.0,5.0,2.0,4.0,4.0,4.2,My concern is that AI automation may reduce the demand for some customer support and coordination tasks.,AI helps me create customer-ready replies and summarize conversations quickly while preserving a consistent tone.
R1026,35–44,Female,Technology / IT,Senior / Specialist,3,8–15 years,4,Frequently (daily),4,Coding / technical assistance,Expert,5,5.0,5.0,4.0,5.0,5.0,4.8,3.0,4.0,4.0,3.0,4.0,3.0,3.6,The biggest concern is that routine engineering and support work may be devalued as AI accelerates delivery expectations.,"AI helps speed up code generation, debugging support, and technical documentation, improving team velocity."
R1027,18–24,Male,Education,Entry-level / Junior,1,Less than 1 year,1,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.6,"I have not adopted AI yet, but I worry that limited exposure could reduce early-career growth and skills opportunities.","I have not used it much yet, but I expect it may help with summaries and first drafts once I am more familiar."
R1028,25–34,Female,Technology / IT,Mid-level / Associate,2,4–7 years,3,Occasionally (a few times a week),3,"Drafting written content (emails, reports, documents)",Intermediate,3,4.0,4.0,3.0,4.0,4.0,3.8,3.0,3.0,4.0,3.0,4.0,3.0,3.4,"I worry about task automation reducing some routine work, but I still value human judgment for quality control and decisions.","AI helps me draft communications and summaries quickly, which frees time for analysis and stakeholder work."
R1029,18–24,Male,Education,Entry-level / Junior,1,1–3 years,2,Rarely (a few times a month),2,Brainstorming / idea generation,Basic,2,3.0,3.0,4.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,My main concern is that AI may reduce opportunities for junior staff to build foundational skills through routine tasks.,It helps me brainstorm ideas and summarize reading material quickly while I learn.
R1030,35–44,Female,Healthcare,Senior / Specialist,3,8–15 years,4,Frequently (daily),4,Data analysis or summarization,Advanced,4,5.0,5.0,4.0,5.0,5.0,4.8,4.0,4.0,5.0,2.0,5.0,4.0,4.4,I am concerned about role changes and the need to continuously reskill as AI becomes more integrated in clinical workflows.,"AI supports quick summarization of research and operational data, which improves decision support and time efficiency."
